message,created_time,type,shares/count,id,likes/summary/total_count,likes/summary/can_like,likes/summary/has_liked,comments/summary/order,comments/summary/total_count,comments/summary/can_comment
"【義式榛果可可蛋撻】
我不是在吃下午茶，就是在前往吃下午茶的路上(?)
雖然無法天天都有這種貴婦行程，還是可以跟小編一樣，用小偏方寵愛自己～一杯優質好咖啡+一個手做小甜點，高貴不貴，百元有找的舒壓美食組，就在肯德基！",2017-01-17T01:30:00+0000,photo,1,324273577645211_1434862036586354,158,false,false,ranked,1,false
"肯德基起司雞再升級！ 
咔啦脆雞搭配切達起司 醬x粉x丁，多層香濃起司，驚豔你的味蕾！新春招好運，就來大咬「金宴起司雞」，讓新年吉事加碼，好運連連！
https://goo.gl/2PHUwj",2017-01-16T16:01:18+0000,video,8,324273577645211_1452419758163915,380,false,false,ranked,9,false
"【骰出金雞年好運氣】
過年到~ 過年到~ 福氣滿滿招財又進寶~
好手氣好運氣，大咬「金宴起司雞」，來年都順利
#肯德基金宴起司雞
#切達起司醬粉丁
#我要好運連連",2017-01-13T04:18:07+0000,link,,324273577645211_1447977611941463,1644,false,false,ranked,31,false
"【義式榛果可可蛋撻】
I have an Egg Tart  (擠眉)
I have a waffle (弄眼)
Yeah～ (雙手一合)
肯德基義式榛果可可蛋撻！
今年冬限定的香濃好滋味，你吃過了嗎？",2017-01-11T01:30:01+0000,photo,11,324273577645211_1434860893253135,236,false,false,ranked,5,false
,2017-01-10T01:59:22+0000,photo,8,324273577645211_1440722726000285,304,false,false,ranked,1,false
"【榛心獻好禮】

伴手禮怎麼送最暖心？
現烤溫熱蛋撻x香濃榛果可可x奶香格子鬆餅
讓肯德基義式榛果可可蛋撻禮盒和你一起吃甜甜過好年！

只要留言並TAG你的親友，就能抽義式榛果可可蛋撻，一起享用喔~

榛心傳送門～>> https://goo.gl/h2GLvZ

※活動辦法
步驟一：於本PO文下方留言TAG一位親友，並寫下「＠王小明 過年送禮，就要榛心！讓肯德基『義式榛果可可蛋撻禮盒』來溫暖大家的心 <3」
步驟二：送出成功後，就有機會獲得KFC義式榛果可可雙色蛋撻禮盒
※活動時間：1/10 (二) 12:00 ~ 1/19 (四) 23:59止
※免費份數：總計30盒
※抽獎辦法：於1/20 (五)抽出30組名額，可獲得「榛心獻禮」，並於KFC粉絲專頁公告中獎名單，請中獎者於2/6~2/8下午15:00-20:00於指定餐廳領取獎品。",2017-01-09T16:04:54+0000,link,1899,324273577645211_1439574736115084,9249,false,false,ranked,3306,false
"📷【截圖分享-冬日享食🍗🍟，激省價$190】
😘美味不只來自食物本身，和對的人一起享用，更對味！
肯德基限定激省優惠，兩人同享幸福加倍！💖

輕鬆出示截圖，立即有優惠
活動時間自2016/12/6~2017/1/23止
✨✨更多優惠看這裡>> https://goo.gl/1JD1pb",2017-01-09T16:00:57+0000,photo,371,324273577645211_1432622743476950,7575,false,false,ranked,337,false
"【吉事滿滿迎新年，吃出好運連連！】

香濃的切達起司 醬×粉×丁，搭配酥脆的咔啦炸雞，華麗豐富的口感，大口咬出好運氣。
新年吉事再加碼、好運加滿滿！",2017-01-09T16:00:12+0000,link,122,324273577645211_1439495902789634,7838,false,false,ranked,136,false
"【好運集氣新招數】 
新春限定！想要拚人氣招好運，想要發財求順利?!!
🐤1/10 (二)肯德基【金宴起司雞】 新上市
🔶切達起司醬X粉X丁，三重香濃起司口感，讓你吉事加碼，好運加滿滿!
💛明天就跟小編一起來大咬金黃喜氣的【金宴起司雞】，集氣招好運，新年就是要好運一直來! 
★出示此嘗鮮券截圖即可享優惠！

#KFC金宴起司雞 #切達起司醬粉丁 #一咬就好運連連",2017-01-09T11:42:20+0000,photo,44,324273577645211_1439631042776120,419,false,false,ranked,14,false
"【肯德基跨年營業時間公告】
為服務消費者，肯德基部分餐廳於2016/12/31、2017/1/1延長營業時間，詳細各餐廳營業時間請點選下方連結查詢，謝謝。

2017 跨年營業時間:
https://goo.gl/f2LHaI",2016-12-30T04:08:23+0000,photo,14,324273577645211_1416759075063317,551,false,false,ranked,31,false
