message,created_time,type,shares/count,id,likes/summary/total_count,likes/summary/can_like,likes/summary/has_liked,comments/summary/order,comments/summary/total_count,comments/summary/can_comment
"遇到這種好老闆真的揪甘心耶啊~
你家Boss也是這樣的溫暖好老闆嗎？
別害羞，快tag他大方說出你的感謝！

換你請老闆喝咖啡>>http://mcdtw.com/McCafe/061/",2017-01-17T06:00:00+0000,photo,67,101615286547831_1460728127303200,875,false,false,chronological,21,false
"貓奴快拜！哆啦A夢化身對杯，在麥當勞獨家登場！
1/18 11am推出新年限定「DORAEMON光雕對杯(笑臉杯+鈴鐺杯)」，立即公開分享本貼文，就有機會帶哆啦A夢回家過年！
百變DORAEMON看透透>>http://mcdtw.com/D/001/
✦活動辦法✦
❶ 活動期間即日起至2017年1月24日 23:59止，公開分享本則貼文即具備抽獎資格，隨機抽出3個得獎名額。
❷ 將於2017年1月26日在本篇貼文下方公佈幸運得獎粉絲。得獎者可獲得「哆啦A夢 DORAEMON光雕對杯」一組 (內含笑臉杯、鈴鐺杯各1個)，共3名。本活動之獎項不得轉換、轉讓或折換現金。
❸ 得獎者需於2017年2月5日23:59前將您的寄送資料(包含：中文姓名/聯絡電話/FB姓名/個人FB Link及寄送地址)寄到mcdtaiwan@gmail.com，逾期回覆及寄送資料提供不完整者視同棄權，不予遞補得獎名額，且台灣麥當勞無須負任何責任。
❹ 台灣麥當勞將於2017年2月15日前寄出獎項。本活動獎項寄送地區僅限台、澎、金、馬地區，海外地區恕無法配送。
❺若有負面不雅言詞或不相關留言，台灣麥當勞有權利得予以刪除。
❻台灣麥當勞保留擴大、修改、取消、終止該活動以及更改活動截止日期的權利，無需做出解釋或通知。",2017-01-17T02:00:00+0000,photo,77037,101615286547831_1463935253649154,74984,false,false,chronological,44287,false
"這五項革命情誼你們中幾樣？
再忙再累，有好同事就是讓人暖心不孤單！
快tag你身旁的好同事好夥伴，
讓他知道你也會這樣挺他！
走吧！找同事一起喝杯咖啡>>http://mcdtw.com/McCafe/060/",2017-01-16T06:00:00+0000,photo,101,101615286547831_1461095367266476,1142,false,false,chronological,55,false
"沒想到！麥當勞金迎招財薯來堡，幕後配音原來是相聲大師宋少卿！
這場國際數來寶PK大賽，還特別請來了網路名人黑素斯，看他們各出奇招較量數來寶，看了讓人開口笑，讓你招財一路發！
過新年，別忘了要享受美味的金迎招財薯來堡，現在搭配豪麥套餐還送限量紅包袋喔！

金迎招財薯來寶，好運秘密點這裡！>>http://mcdtw.com/cny/013/
快點歡樂送，好運送到家！>>http://mcdtw.com/cny/012/",2017-01-16T02:00:00+0000,video,206,101615286547831_1459539564088723,2471,false,false,chronological,73,false
"有一種同事，像兄弟一樣，在職場上，他不計較付出，總是與你並肩作戰、一起打拼，你們之間有著不可磨滅的革命情感。
也許此刻你們已各有一片天，對於曾經的戰友，你是否有些話想對他說？現在就tag他，留言分享你心底的話。",2017-01-14T12:00:00+0000,video,2228,101615286547831_1461502147225798,22844,false,false,chronological,824,false
"新年想要好運到！金迎招財薯來堡！
厚實牛肉吃得飽，嫩鷄滋味也很好，
黑胡椒醬好味道，金黃薯餅一口咬，
還有金迎招財福堡，讓你新年福氣大滿貫，好運停不了！
還有還有，廣告請你瞧一瞧，猜猜配音是哪位大師聲優演出？
答案下週來揭曉！

雞年好運到？快來認識金迎招財雙堡>>http://mcdtw.com/cny/011/
金銀來敲門，美味送上門！>>http://mcdtw.com/cny/012/",2017-01-11T02:00:00+0000,video,272,101615286547831_1457636234279056,3939,false,false,chronological,376,false
"像蛋黃哥一樣懶得出門覓食嗎?
歡樂送訂餐滿$398，就送限量蛋黃哥陶瓷餐盤，
數量有限送完為止，賣勾蛋啊，還不快訂餐!!

蛋黃哥在這裡>>http://mcdtw.com/gudetama/1/
立即看menu點餐>>http://mcdtw.com/gudetama/2/",2017-01-05T02:00:00+0000,link,498,101615286547831_1444555872253759,6558,false,false,chronological,869,false
"當香醇咖啡遇上綿密奶泡、香甜草莓風味
McCafé草莓紅絲絨系列 絲滑質感讓你愛不釋口！
想喝？這裡喝得到>>http://mcdtw.com/McCafe/057/",2017-01-04T06:00:00+0000,link,312,101615286547831_1446307752078571,4920,false,false,chronological,237,false
"新的一年開始了，凡事都使出洪荒之力的你，
記得先把活力加好加滿喔！

雙層香煎豬肉+現煎太陽蛋+香烤滿福麵包，
無敵豬肉滿福堡給你雙倍的能量，
讓你一早就充滿無敵活力，
面對今年的挑戰沒在怕！

滿福堡系列更多選擇 http://mcdtw.com/McMuffin/1/
預訂眀早無敵早餐 http://mcdtw.com/McMuffin/2/",2017-01-03T23:00:00+0000,video,32,101615286547831_1444541582255188,1338,false,false,chronological,23,false
"12/31跨年夜，全台麥當勞給你滿滿的變裝大。平。台！

快tag好友並留言「跨年夜一起來麥當勞」，就有機會獲得「 限量設計杯」喔！
(限量設計杯實品圖請見留言處)

✦活動辦法✦
❶ 活動期間即日起至2016年12月31日 23:59止，留言@一個好友並留言「跨年夜一起來麥當勞」，即具備抽獎資格，隨機抽出10個得獎名額。

❷ 將於2017年1月5日在本篇貼文下方公佈幸運得獎粉絲。得獎者可獲得「 McCafé限量設計杯」１個，共10名。本活動之獎項不得轉換、轉讓或折換現金。

❸ 得獎者需於2017年1月12日23:59前將您的寄送資料(包含：中文姓名/聯絡電話/FB姓名/個人FB Link及寄送地址)寄到mcdtaiwan@gmail.com，逾期回覆及寄送資料提供不完整者視同棄權，不予遞補得獎名額，且台灣麥當勞無須負任何責任。

❹ 台灣麥當勞將於2017年1月19日前寄出獎項。本活動獎項寄送地區僅限台、澎、金、馬地區，海外地區恕無法配送。

❺若有負面不雅言詞或不相關留言，台灣麥當勞有權利得予以刪除。

❻台灣麥當勞保留擴大、修改、取消、終止該活動以及更改活動截止日期的權利，無需做出解釋或通知。",2016-12-30T06:00:00+0000,link,494,101615286547831_1432749476767732,2566,false,false,chronological,1862,false
