link,permalink_url,created_time,type,name,id,shares/count,reactions/summary/total_count,reactions/summary/viewer_reaction,likes/summary/total_count,likes/summary/can_like,likes/summary/has_liked,comments/summary/order,comments/summary/total_count,comments/summary/can_comment,message
https://www.facebook.com/kfctaiwan/photos/a.327640700641832.75606.324273577645211/1103878969684664/?type=3,https://www.facebook.com/kfctaiwan/posts/1103880149684546,2016-03-01T02:24:50+0000,photo,KFC's cover photo,324273577645211_1103878969684664,27,508,NONE,485,false,false,ranked,11,false,
https://www.facebook.com/kfctaiwan/photos/a.329668497105719.76003.324273577645211/1101113336627894/?type=3,https://www.facebook.com/kfctaiwan/posts/1101113336627894:0,2016-03-01T02:07:45+0000,photo,Timeline Photos,324273577645211_1101113336627894,1314,10911,NONE,10551,false,false,ranked,624,false,"【截圖分享-雙人共享餐只要179】
一起享用一頓美味吧！肯德雞雙人共餐享，為你的感情加分！一個咔啦雞腿堡+一個紐奧良雞腿堡+2份小薯+2杯小可，限時滿足價只要$179
立即“截圖分享”給你最親愛的好友吧！活動時間自2016/3/1-4/18止
★出示截圖即享優惠★
更多優惠券：http://ppt.cc/kkV7K"
http://goo.gl/3SSj9q,https://www.facebook.com/kfctaiwan/posts/1101113399961221,2016-02-29T16:00:53+0000,link,肯德基LAVAZZA好咖啡美味供應中！,324273577645211_1101113399961221,41,6900,NONE,6858,false,false,ranked,23,false,"【品嚐好咖啡 ‧ 讓活力起飛】
身體醒了，頭腦卻還沒醒？
快來肯德基享受義大利最受歡迎的LAVAZZA好咖啡，讓經典香氣與濃醇口感的美味，為你喚起一整天的好精神！
活動詳情>> http://goo.gl/3SSj9q"
http://goo.gl/8joPBn,https://www.facebook.com/kfctaiwan/posts/1101016189970942,2016-02-29T16:00:01+0000,link,肯德基天天省早餐優惠$49元起！,324273577645211_1101016189970942,53,7055,NONE,6969,false,false,ranked,19,false,"【誰說美味和超值不能兼顧】
96層的香酥燒餅皮夾入新鮮蔬菜、培根及歐姆蛋，搭配義大利最受歡迎的LAVAZZA好咖啡，竟然只要59元即可一次享用!!肯德基《早餐天天省》讓你體會最超值的超美味!
更多早餐優惠→http://goo.gl/8joPBn"
http://gph.is/1QJxKPg,https://www.facebook.com/kfctaiwan/posts/1101030189969542,2016-02-29T16:00:01+0000,link,gph.is,324273577645211_1101030189969542,179,5763,NONE,5518,false,false,ranked,282,false,"你們的聲音～肯德基都聽見了！！！ 
 
推出重新升級的《99群星餐升級版》，經典雞腿漢堡夾入酥脆的金黃薯餅，搭配美味新醬料，
口感豐富，美味UPGRADE，要你重新再愛上它！
　
限期推出的經典薯餅雞腿堡，兩種新口味德州辣醬或南歐蒔蘿醬任選；再搭配金黃脆腿條、香酥脆薯及可樂，多種美味一次享有只要$99！
 
>>瞭解更多 http://goo.gl/3kMvI6"
http://gph.is/1R61gZR,https://www.facebook.com/kfctaiwan/posts/1101026063303288,2016-02-29T16:00:00+0000,link,gph.is,324273577645211_1101026063303288,448,19186,NONE,18167,false,false,ranked,488,false,"美味升級  GO！GO！GO！
 
肯德基限期推出《99群星餐升級版》，經典薯餅雞腿堡 (兩種新口味德州辣醬or南歐時蘿醬2選1) 

夾入外酥內軟的金黃薯餅，漢堡瞬間LEVEL UP！再搭配香酥脆薯、金黃脆腿條，及可樂一份，多種超值美味，一次擁有只要$99！
 
享受美味，let’s go! >> http://goo.gl/4F14rQ"
https://www.facebook.com/kfctaiwan/photos/a.329668497105719.76003.324273577645211/1100990656640162/?type=3,https://www.facebook.com/kfctaiwan/posts/1100990656640162:0,2016-02-27T02:50:00+0000,photo,Timeline Photos,324273577645211_1100990656640162,20,356,NONE,338,false,false,ranked,9,false,"連假又要煩惱吃甚麼才好嗎?
春遊好食雞，隨時歡樂隨時嗨!紐奧良派對狂饗烤全雞$569，2/27~2/29紐奧良烤全雞10:30~21:00現烤供應，快把握春日最佳美食!"
http://www.kfcclub.com.tw/NewsDetail-35.html?utm_source=FB&utm_medium=PPA&utm_campaign=COFFEESP2_201602,https://www.facebook.com/kfctaiwan/posts/1100243466714881,2016-02-25T08:30:00+0000,link,結半享好康‧肯德基限時優惠，咖啡第2杯半價！,324273577645211_1100243466714881,17,2790,NONE,2764,false,false,ranked,6,false,"【結「半」享好康‧好咖啡第2杯半價】
連假快到囉~出遊時別忘了和好友一起分享超值好咖啡！
即日起到2/29，來KFC享用義大利最受歡迎的LAVAZZA美味咖啡，第2杯即享半價優惠！
活動最後優惠倒數，快結「半」來享好康吧!!
活動詳情>> http://goo.gl/ox3SVG"
http://goo.gl/dc7JZk,https://www.facebook.com/kfctaiwan/posts/1098863173519577,2016-02-23T08:56:41+0000,link,肯德基天天省早餐優惠$49元起！,324273577645211_1098863173519577,65,4259,NONE,4201,false,false,ranked,16,false,"【早餐天天省，你的活力起跑點】
迎接新一年，肯德基用美味早餐幫你補充職場大活力~
《早餐天天省》週週都有不同的經典早餐搭配義大利最受歡迎的LAVAZZA好咖啡，只要49元起即可享用！為您補滿一天的元氣，迎接工作挑戰！
更多早餐優惠→http://goo.gl/dc7JZk"
https://www.facebook.com/kfctaiwan/photos/a.329668497105719.76003.324273577645211/1098249743580920/?type=3,https://www.facebook.com/kfctaiwan/posts/1098249743580920:0,2016-02-22T10:28:12+0000,photo,Timeline Photos,324273577645211_1098249743580920,156,5588,NONE,5495,false,false,ranked,52,false,"【連假加碼好康，預訂快取出示畫面送百事可樂兩罐】
網路預訂快取>> https://goo.gl/F3Hl6N

喔耶好棒棒! 過年開工沒多久，本周末又要放個228連假!!!
小編幫大家爭取到限時加碼好康，於2月23日起(也就是明天~)，至3月7日使用網路預訂快取，取餐出示本則貼文畫面，即送百事可樂兩罐！各門市兌換數量有限，送完為止喔~

(偷偷說，網路點餐搭配新會員首購滿額送咔啦脆雞一塊，消費滿額再享好禮三選一，一整個好康滿滿，你怎麼能不愛肯德基!!)"
