message,link,permalink_url,created_time,type,name,id,shares/count,reactions/summary/total_count,reactions/summary/viewer_reaction,likes/summary/total_count,likes/summary/can_like,likes/summary/has_liked,comments/summary/order,comments/summary/total_count,comments/summary/can_comment,message_tags/0/id,message_tags/0/name,message_tags/0/type,message_tags/0/offset,message_tags/0/length,message_tags/1/id,message_tags/1/name,message_tags/1/type,message_tags/1/offset,message_tags/1/length
"來個味覺上的PK吧！！
咔啦雙人分享餐讓你一次擁有
(1)超級經典 #咔啦雞腿堡 
(2)強力推薦 #美墨辣魅咔啦雞腿堡
(3)多樣點心、清涼飲料
周末時光就和麻吉一起分享吧！
＞#網路訂餐：https://goo.gl/w7mCrh",https://www.facebook.com/kfctaiwan/photos/a.329668497105719.76003.324273577645211/932276750178221/?type=3,https://www.facebook.com/kfctaiwan/posts/932276750178221:0,2015-06-12T03:00:03+0000,photo,Timeline Photos,324273577645211_932276750178221,25,448,NONE,448,false,false,ranked,19,false,,,,,,,,,,
"炸雞太脆、不吃會餓昏在地上
抽離校園放開自己～學分校規抓不住你～
跟著肯德基一起放縱～就跟著肯德基一起放縱～

畢業我最大！就是要開趴：https://goo.gl/xcSQtC
立即搜尋「肯德基訂餐」

#畢業快樂 #畢業party",https://www.facebook.com/kfctaiwan/photos/a.329668497105719.76003.324273577645211/932274500178446/?type=3,https://www.facebook.com/kfctaiwan/posts/932274500178446:0,2015-06-11T03:16:02+0000,photo,Timeline Photos,324273577645211_932274500178446,12,285,NONE,285,false,false,ranked,6,false,,,,,,,,,,
"夏天最清涼的優惠來了！
夏日Party良伴：吮指炸雞、咔啦雞腿堡、甜蜜蛋撻、超人氣蜜桃可爾必思啵啵飲，搭配優惠券超划算，趕快來下載～",http://www.kfcclub.com.tw/Menu/Coupon/,https://www.facebook.com/kfctaiwan/posts/935848899821006,2015-06-09T08:45:16+0000,link,激省「夏」一跳，美味讓你立刻帶著走！,324273577645211_935848899821006,45,6165,NONE,6165,false,false,ranked,33,false,,,,,,,,,,
"常常有外國朋友說，你們台灣人好像很喜歡排隊內~
排隊上廁所，排隊看電影，排隊吃美食
排隊人生辛酸啾竟誰人知?
別再傻傻排隊了，立即訂購->http://goo.gl/836vS2",https://www.kfcorder.com.tw/web/Index.aspx?utm_source=FBPPA_OOSCampaign_W3&amp%3Butm_medium=FBPPAW3OOS&amp%3Butm_campaign=OOSCampaign,https://www.facebook.com/kfctaiwan/posts/935050029900893,2015-06-09T08:29:57+0000,link,肯德基排隊人生小劇場，熱情上映中!!!,324273577645211_935050029900893,21,18084,NONE,18084,false,false,ranked,16,false,,,,,,,,,,
"肯德基早餐天天省，優惠最後倒數囉!!!
為大家獻上網友評選 No. 1的早場明星商品—吮指嫩雞蛋堡，
即日起至6/15止，套餐只要49元!
活動期間限定優惠，晚了就真的沒有啦!!!
詳情請上→http://goo.gl/Pxuf1m",http://www.kfcclub.com.tw/event/2015breakfastsp/?utm_source=fbweek5&utm_medium=1200x627&utm_campaign=0520,https://www.facebook.com/kfctaiwan/posts/935265953212634,2015-06-08T22:00:01+0000,link,肯德基早餐天天省  倒數優惠中,324273577645211_935265953212634,33,2910,NONE,2910,false,false,ranked,8,false,,,,,,,,,,
"齁嘿！知名部落客史丹利也來肯德基 #預訂快取 囉～
他也愛上了用手機滑滑滑就預約訂好餐，到餐廳「免排隊、免等待」就走專屬VIP取餐通道把美味帥氣帶出場的尊榮體驗！
你還不快來試試看？
＞你也來！手機訂餐：https://goo.gl/OEAU9o

熱血史丹利大叔應援團",https://www.facebook.com/kfctaiwan/photos/a.329668497105719.76003.324273577645211/929774320428464/?type=3,https://www.facebook.com/kfctaiwan/posts/929776767094886,2015-06-07T02:50:03+0000,photo,Photos from KFC's post,324273577645211_929776767094886,,195,NONE,195,false,false,ranked,1,false,106133309422724,熱血史丹利大叔應援團,page,125,10,,,,,
"#回不去了
你吃過最新的 #美墨辣魅咔啦雞腿堡 嗎？團長自從試過一口脆雞一口漢堡的咔啦神滋味，就回不去啦～～
＞立即訂餐：https://goo.gl/UT6vgK（外送外帶都ok！ #預訂快取 還有多重送～）
＞手機訂餐：https://goo.gl/9UkRYx",https://www.facebook.com/kfctaiwan/photos/a.329668497105719.76003.324273577645211/929767433762486/?type=3,https://www.facebook.com/kfctaiwan/posts/929767433762486:0,2015-06-05T03:10:03+0000,photo,Timeline Photos,324273577645211_929767433762486,26,457,NONE,457,false,false,ranked,6,false,,,,,,,,,,
"（挑眉）來份重量級的大份量美味吧？
一口咬下又辣又過癮的墨西哥辣魅雞腿堡，加酥脆的炸雞，還可以來顆蛋撻做美味的ending！還等什麼？馬上就來一份吧！

＞網路訂餐：https://goo.gl/J9q5Ub
＞手機點餐：https://goo.gl/WrtFnt

#肯德基蛋塔",https://www.facebook.com/kfctaiwan/photos/a.329668497105719.76003.324273577645211/926251390780757/?type=3,https://www.facebook.com/kfctaiwan/posts/926251390780757:0,2015-06-04T02:40:04+0000,photo,Timeline Photos,324273577645211_926251390780757,31,513,NONE,513,false,false,ranked,9,false,,,,,,,,,,
"啵 啵 啵~肯德基夏日限定《蜜桃可爾必思啵啵飲》來囉~~
全新口感的蜜桃啵啵搭配蜜桃可爾必思，，
每一口都迸出滿滿的甜蜜，沁涼又驚奇！
即日起搭配套餐，升級價只要$10元喔！
立即訂購→ https://goo.gl/CG418L",https://www.kfcorder.com.tw/web/Index.aspx?utm_source=FB&utm_medium=cpc_newsfeed&utm_campaign=0525_ShoyuCOB,https://www.facebook.com/kfctaiwan/posts/930310647041498,2015-06-03T04:16:38+0000,link,肯德基《蜜桃可爾必思啵啵飲》第2杯半價優惠中！,324273577645211_930310647041498,75,9665,NONE,9665,false,false,ranked,50,false,,,,,,,,,,
"啵啵啵．．．肯德基 #夏日限定《蜜桃可爾必思啵啵飲》來囉～
「啵啵」超神奇的口感搭配 #蜜桃可爾必思蘇打，在口中瞬間引爆的驚奇感受，你一定要自己來試試～
（第二杯半價ㄟ，快分享給好朋友，一起來喝涼涼啊～）
＞#預訂快取 預約外帶，取餐免排隊：https://goo.gl/eAz0MC
＞手機訂餐．啵棒！https://goo.gl/4umh48",https://www.facebook.com/kfctaiwan/photos/a.329668497105719.76003.324273577645211/926252120780684/?type=3,https://www.facebook.com/kfctaiwan/posts/926252120780684:0,2015-06-03T03:20:00+0000,photo,Timeline Photos,324273577645211_926252120780684,23,415,NONE,415,false,false,ranked,1,false,,,,,,,,,,
