message,link,permalink_url,created_time,type,name,id,shares/count,reactions/summary/total_count,reactions/summary/viewer_reaction,likes/summary/total_count,likes/summary/can_like,likes/summary/has_liked,comments/summary/order,comments/summary/total_count,comments/summary/can_comment,message_tags/0/id,message_tags/0/name,message_tags/0/type,message_tags/0/offset,message_tags/0/length,message_tags/1/id,message_tags/1/name,message_tags/1/type,message_tags/1/offset,message_tags/1/length,message_tags/2/id,message_tags/2/name,message_tags/2/type,message_tags/2/offset,message_tags/2/length,message_tags/3/id,message_tags/3/name,message_tags/3/type,message_tags/3/offset,message_tags/3/length
"Happy New Year！2015！
你正跟親朋好友聚在一起嗎？快跟團長一樣，訂一份好食雞同樂餐－－「你一口我一口，麻吉相挺到永久～」

＞外送專線：4128000（是你餓吧！鈴鈴鈴！）（歡迎電話預約外帶！）
＞#網路訂餐：http://goo.gl/WyC937

#HappyNewYear #Happy2015",https://www.facebook.com/kfctaiwan/photos/a.329668497105719.76003.324273577645211/823491981056699/?type=3,https://www.facebook.com/kfctaiwan/posts/827753123963918:0,2015-01-01T09:00:01+0000,photo,Timeline Photos,324273577645211_823491981056699,6,258,NONE,258,false,false,ranked,3,false,,,,,,,,,,,,,,,,,,,,
"「Happy New Year！新年快樂！」
全新的一年嶄新的開始，就讓 #肯德基早餐 與 Lavazza #義式咖啡 陪你一起迎接2015活力的每一天！
嚐鮮還有巧克力獨享優惠，限店限量供應！
說明看這裡＞＞http://goo.gl/TJ9dWZ
#新年快樂 #HappyNewYear #ItalianCoffee #優惠 #限量贈品",http://goo.gl/TJ9dWZ,https://www.facebook.com/kfctaiwan/posts/826869824052248,2015-01-01T00:30:01+0000,link,肯德基早餐開始供應LAVAZZA好咖啡,324273577645211_826869824052248,42,6035,NONE,6035,false,false,ranked,22,false,110931753523,Lavazza,page,46,7,,,,,,,,,,,,,,,
"有參加 #元旦升旗、#迎接第一道曙光 的粉絲請喊又！！
歡迎超有朝氣的你蒞臨享用活力 #早餐 ～
↑↑.+゜*ヽ(㊤´∀`*㊤)ノ。:゜+

＞更多 #優惠券：http://goo.gl/5MF9YR
＞找附近 #肯德基：http://goo.gl/UZ2GxE

#COUPON #早餐好省",https://www.facebook.com/kfctaiwan/photos/a.329668497105719.76003.324273577645211/823495007723063/?type=3,https://www.facebook.com/kfctaiwan/posts/827292960676601:0,2014-12-31T23:20:00+0000,photo,Timeline Photos,324273577645211_823495007723063,9,255,NONE,255,false,false,ranked,1,false,,,,,,,,,,,,,,,,,,,,
"～跨年夜，無雞不歡～
團長今夜揪了一票好朋友來家裡，把「18塊雞同樂餐」準備好，就能一起吃熱騰騰的好料、收看精彩的跨年節目、倒數等煙火！
偷偷告訴你：有烤有炸有 #蛋撻！越早訂、越優惠！手腳要快ㄟ！

＞訂餐專線：4128000（是你餓吧！鈴鈴鈴！)歡迎電話訂餐，預約外帶！
＞#網路訂餐：http://goo.gl/WdPFRD",https://www.facebook.com/kfctaiwan/photos/a.329668497105719.76003.324273577645211/823501581055739/?type=3,https://www.facebook.com/kfctaiwan/posts/826625764076654:0,2014-12-31T02:00:01+0000,photo,Timeline Photos,324273577645211_823501581055739,6,268,NONE,268,false,false,ranked,4,false,,,,,,,,,,,,,,,,,,,,
"<3 一盒在手$749，美味無窮到永久 <3
#肯德基 派對歡聚盒有吃過都喊「再來一份」的 #A咔派對雞、人氣紅不讓的 #咔拉脆雞、辦趴少不了的 #FUN4享樂拼盤！2天前預購還有優惠加碼！
別等！手機速撥4128000訂餐，外帶自取也OK喔～",https://www.facebook.com/kfctaiwan/photos/a.329668497105719.76003.324273577645211/823490351056862/?type=3,https://www.facebook.com/kfctaiwan/posts/826078257464738:0,2014-12-30T02:37:01+0000,photo,Timeline Photos,324273577645211_823490351056862,4,210,NONE,210,false,false,ranked,1,false,,,,,,,,,,,,,,,,,,,,
"正在進行一個享用 #A咔派對雞 重量級XL套餐的動作～
這麼豐富、美味又多樣，只要$155！
馬上點來吃：http://goo.gl/3ZcPM8",https://www.facebook.com/kfctaiwan/photos/a.329668497105719.76003.324273577645211/821096914629539/?type=3,https://www.facebook.com/kfctaiwan/posts/825667814172449:0,2014-12-29T10:45:00+0000,photo,Timeline Photos,324273577645211_821096914629539,8,379,NONE,379,false,false,ranked,8,false,,,,,,,,,,,,,,,,,,,,
"酸甜帶勁的 #A咔派對雞
脆皮微辣的 #咔啦脆雞
皮香肉嫩的 #紐奧良手扒雞
入味多汁的 #蜜汁烙烤雞腿排
多重主食 + #FUN4享樂拼盤 + 原味 #蛋撻禮盒 + 百事可樂
澎派的「梭哈派對餐」，兩天前預購還享優惠，#跨年 必點這一味！

＞外送專線：4128000（是你餓吧！鈴鈴鈴！）
＞#網路訂餐：http://goo.gl/KZ0WNR

#NewYear #Party #Countdown #倒數2015 #Feast #跨年大餐",https://www.facebook.com/kfctaiwan/photos/a.329668497105719.76003.324273577645211/823472527725311/?type=3,https://www.facebook.com/kfctaiwan/posts/825426037529960:0,2014-12-29T03:00:01+0000,photo,Timeline Photos,324273577645211_823472527725311,2,229,NONE,229,false,false,ranked,3,false,,,,,,,,,,,,,,,,,,,,
"過完 #聖誕 過 #元旦，沒有什麼比「超人氣同樂餐」更討喜了！ヾ(●´▽｀●)ノ
永堡安康 + 雞祥如意 + 心有所薯 + 元蛋快樂 + 百事可樂！！
快撥4128-000，預約好運送到家！

＞網路訂餐：http://goo.gl/9rV7mP（加入會員還享入會首購禮～）

#咔啦雞腿堡 #咔啦脆雞 #蛋塔 #蛋撻",https://www.facebook.com/kfctaiwan/photos/a.329668497105719.76003.324273577645211/823469394392291/?type=3,https://www.facebook.com/kfctaiwan/posts/824760567596507:0,2014-12-28T02:30:00+0000,photo,Timeline Photos,324273577645211_823469394392291,1,271,NONE,271,false,false,ranked,0,false,,,,,,,,,,,,,,,,,,,,
"~Friday Night, Party Night~
想來個你儂我儂雙人 #A咔派對雞 組合餐，還是要三五好友一起點個 #FUN4享樂拼盤？
請．選．擇！

＞更多 #優惠券：http://goo.gl/wZaGzR
（手機出示圖片或印出皆可兌換）
#COUPON #好康 #折價券 #PartyNight",https://www.facebook.com/kfctaiwan/photos/a.329668497105719.76003.324273577645211/821286051277292/?type=3,https://www.facebook.com/kfctaiwan/posts/823501857722378:0,2014-12-26T11:00:00+0000,photo,Timeline Photos,324273577645211_821286051277292,29,316,NONE,316,false,false,ranked,0,false,,,,,,,,,,,,,,,,,,,,
"周末轟趴準備好了嗎？派對救星 #肯德基 特別推出適合10人以上的「梭哈派對餐」，兩天前預購滿$700就送【原味蛋撻禮盒+20塊雞塊分享盒二合一兌換券】，快撥打(02)4128-000 ，美味幫您送到家！

#網路訂餐 享更多優惠：http://goo.gl/JqTr2d （立即加入會員還享首購入會禮： #A咔派對雞 1塊！）

好東西就要用力分享出去！

#轟趴專用 #Party #Feast #派對",https://www.facebook.com/kfctaiwan/photos/a.329668497105719.76003.324273577645211/821408924598338/?type=3,https://www.facebook.com/kfctaiwan/posts/823125037760060:0,2014-12-26T03:00:00+0000,photo,Timeline Photos,324273577645211_821408924598338,11,230,NONE,230,false,false,ranked,0,false,,,,,,,,,,,,,,,,,,,,
"特選12種食材，濃郁酸甜醬汁完美混搭香脆炸雞，就是想陪你 FUN 4享樂！
狂野熱賣中，立即搶購：http://goo.gl/5l5s6N

#A咔派對雞 #FUN4享樂拼盤",https://www.facebook.com/kfctaiwan/videos/821177181288179/,https://www.facebook.com/kfctaiwan/videos/821177181288179/,2014-12-25T04:00:00+0000,video,肯德基A咔派對雞歡樂降臨～,324273577645211_821177181288179,1,91,NONE,91,false,false,ranked,0,false,,,,,,,,,,,,,,,,,,,,
"親愛的：Merry Christmas! #耶誕快樂～ ヾ(●´▽｀●)ノ
記得帶今年冬天最甜蜜的伴手禮 #蜜香烤蘋果蛋撻 禮盒拜訪親友，桶餐加點甜蜜價只要$129！

＞#網路訂餐：http://goo.gl/vsbdTf

#聖誕快樂 #耶誕禮物 #MerryChristmas  #Xmas #ChristmasGift #肯德基 #伴手禮 #蛋撻",https://www.facebook.com/kfctaiwan/photos/a.329668497105719.76003.324273577645211/817607724978458/?type=3,https://www.facebook.com/kfctaiwan/posts/822438717828692:0,2014-12-25T02:45:01+0000,photo,Timeline Photos,324273577645211_817607724978458,6,227,NONE,227,false,false,ranked,3,false,,,,,,,,,,,,,,,,,,,,
