message,link,permalink_url,created_time,type,name,id,shares/count,reactions/summary/total_count,reactions/summary/viewer_reaction,likes/summary/total_count,likes/summary/can_like,likes/summary/has_liked,comments/summary/order,comments/summary/total_count,comments/summary/can_comment,message_tags/0/id,message_tags/0/name,message_tags/0/type,message_tags/0/offset,message_tags/0/length
"濃濃的粥、香脆誘人的薯餅，美好的一天就該這麼溫暖啟動！
你想先吃粥再吃薯餅、一口粥一口薯餅、還是先吃薯餅再吃粥？
＞＞優惠券在這兒：http://goo.gl/aT4QkC

#優惠券 #早餐 #coupon",https://www.facebook.com/kfctaiwan/photos/a.329668497105719.76003.324273577645211/777724778966753/?type=3,https://www.facebook.com/kfctaiwan/posts/782436541828910:0,2014-10-15T23:30:01+0000,photo,Timeline Photos,324273577645211_777724778966753,4,215,NONE,215,false,false,ranked,0,false,,,,,
"超多願望，一次滿足！
#99群星餐 再出擊， #柚香雞腿堡 寵壞你～
聰明的粉絲快回答，$99可以吃到漢堡、【_ _】、可樂、雞塊和【＿ ＿ ＿ ＿ ＿】？

餓了？網路訂餐去！http://goo.gl/4vKd5c",http://youtu.be/VST2CDyt4bw,https://www.facebook.com/kfctaiwan/posts/781061978633033,2014-10-15T12:45:00+0000,video,肯德基99群星餐-柚香雞腿堡篇,324273577645211_781061978633033,3,130,NONE,130,false,false,ranked,5,false,,,,,
"好苦惱！每個餐點都很誘人，今天吃哪個好？
＞＞還沒載到優惠券？http://goo.gl/MTuKGC

#Coupon #優惠券 #好康 #折價券 #肯德基",https://www.facebook.com/kfctaiwan/photos/a.329668497105719.76003.324273577645211/777707945635103/?type=3,https://www.facebook.com/kfctaiwan/posts/781996748539556:0,2014-10-15T03:30:00+0000,photo,Timeline Photos,324273577645211_777707945635103,20,323,NONE,323,false,false,ranked,8,false,,,,,
"就是這個券！就是這個券！
#肯德基 最新一期優惠券來啦～
印出來或用手機出示圖片都能立即用，趕快用力分享出去～～
＞＞立馬下載：http://goo.gl/YSzhyl

#Coupon #優惠券 #好康 #折價券",https://www.facebook.com/kfctaiwan/photos/a.329668497105719.76003.324273577645211/777687085637189/?type=3,https://www.facebook.com/kfctaiwan/posts/781568981915666:0,2014-10-14T10:00:00+0000,photo,Timeline Photos,324273577645211_777687085637189,52,425,NONE,425,false,false,ranked,10,false,,,,,
"～當超人氣結合秋季美味～
當 #99群星餐 季節限定超值新美味 #柚香雞腿堡，限期供應，千萬別錯過！
＞＞網路點餐GO！http://goo.gl/Lz4Zh6",https://www.facebook.com/kfctaiwan/photos/a.329668497105719.76003.324273577645211/778400522232512/?type=3,https://www.facebook.com/kfctaiwan/posts/780809461991618:0,2014-10-13T02:35:00+0000,photo,Timeline Photos,324273577645211_778400522232512,31,498,NONE,498,false,false,ranked,27,false,,,,,
"#國慶 連假的早晨，帶著全家大小一起到 #肯德基 吃早餐吧～
還有香醇濃郁的熱美式咖啡【免費】招待，立即行動！

＞＞早餐完整菜單：http://goo.gl/8Wy9jr
＞＞立即尋找最近的肯德基餐廳：http://goo.gl/Ae4Oqw",https://www.facebook.com/kfctaiwan/photos/a.329668497105719.76003.324273577645211/777680608971170/?type=3,https://www.facebook.com/kfctaiwan/posts/779152735490624:0,2014-10-10T13:45:02+0000,photo,Timeline Photos,324273577645211_777680608971170,5,339,NONE,339,false,false,ranked,1,false,,,,,
"今天禮拜【四】，最適合【四】個姊妹淘一起去 #肯德基 享用 #柚香薄脆雞烤餅 【四】人分享餐！
還缺咖的粉絲快　喊　又！

＞＞柚香美味線上訂．外送到府：http://goo.gl/s60h8y",https://www.facebook.com/kfctaiwan/photos/a.329668497105719.76003.324273577645211/774109612661603/?type=3,https://www.facebook.com/kfctaiwan/posts/778243468914884:0,2014-10-09T02:00:00+0000,photo,Timeline Photos,324273577645211_774109612661603,6,316,NONE,316,false,false,ranked,9,false,,,,,
"烤．烤．你～
（要回：「盡管烤」呀！）
#起司薯餅蛋捲餅 PK #吮指嫩雞蛋烤餅，你喜翻哪個？",https://www.facebook.com/kfctaiwan/photos/a.329668497105719.76003.324273577645211/770001623072402/?type=3,https://www.facebook.com/kfctaiwan/posts/777558425650055:0,2014-10-08T02:00:00+0000,photo,Timeline Photos,324273577645211_770001623072402,3,364,NONE,364,false,false,ranked,16,false,,,,,
"涼呼呼的早上，最適合來一杯熱熱的咖啡，開啟你活力的一天。
#肯德基早餐 時段【咖啡免費】溫暖招待。
即日起至2014/11/3為止.，數量有限。送完為止！

別再等了～肯德基 早餐 :  http://goo.gl/sfbWSx",https://www.facebook.com/kfctaiwan/photos/a.329668497105719.76003.324273577645211/777080312364533/?type=3,https://www.facebook.com/kfctaiwan/posts/777219359017295:0,2014-10-07T14:00:01+0000,photo,Timeline Photos,324273577645211_777080312364533,17,354,NONE,354,false,false,ranked,6,false,,,,,
"來來來來來，你來，你來～
又想吃得豐富、又想嘗鮮的你看過來！
#柚香薄脆雞烤餅 重量級XL套餐一次滿足兩種渴望，讓Monday不blue！

＞＞網路訂餐走這裡：http://goo.gl/FCNv5b

#mondayblue",https://www.facebook.com/kfctaiwan/photos/a.329668497105719.76003.324273577645211/773927682679796/?type=3,https://www.facebook.com/kfctaiwan/posts/776229505782947:0,2014-10-06T02:00:00+0000,photo,Timeline Photos,324273577645211_773927682679796,19,419,NONE,419,false,false,ranked,9,false,,,,,
