message,link,permalink_url,created_time,type,name,id,shares/count,reactions/summary/total_count,reactions/summary/viewer_reaction,likes/summary/total_count,likes/summary/can_like,likes/summary/has_liked,comments/summary/order,comments/summary/total_count,comments/summary/can_comment,message_tags/0/id,message_tags/0/name,message_tags/0/type,message_tags/0/offset,message_tags/0/length
"等了一世紀，終於Fun暑假啦(啾)
麥當勞慶暑假，冰紅茶(檸檬風味)買一送一！

快揪朋友涼一夏>> http://mcdtw.com/FUZEtea/001/",https://www.facebook.com/mcdonalds.tw/photos/a.114078088634884.6076.101615286547831/1220138861362129/?type=3,https://www.facebook.com/mcdonalds.tw/posts/1220138861362129:0,2016-07-01T02:00:00+0000,photo,Timeline Photos,101615286547831_1220138861362129,108,1583,NONE,1543,false,false,chronological,39,false,,,,,
"歐巴，我才不會拋下你呢！
追劇走不開就叫歡樂送，網路/APP訂餐滿$398還送可口可樂®繽紛袋喔！

24hr美味隨時送到家 >>http://mcdtw.com/mcd/003/",http://o.arcww.com.tw/www.mcdonalds.com.tw/gif/MDSDrama201606.gif,https://www.facebook.com/mcdonalds.tw/posts/1217571174952231,2016-06-30T02:00:01+0000,link,o.arcww.com.tw,101615286547831_1217571174952231,48,6961,NONE,6879,false,false,chronological,36,false,,,,,
"由東京表參道、紐約曼哈頓…席捲全球的鬆餅下午茶風潮，零時差登陸全台麥當勞！
『焦糖布朗尼』冰淇淋鬆餅，冰火絕配，一吃上癮，你Follow了嗎？

快到附近麥當勞享用>>http://mcdtw.com/br/002/",https://www.facebook.com/mcdonalds.tw/photos/a.114078088634884.6076.101615286547831/1216061591769856/?type=3,https://www.facebook.com/mcdonalds.tw/posts/1216061591769856:0,2016-06-29T06:00:02+0000,photo,Timeline Photos,101615286547831_1216061591769856,144,7374,NONE,7144,false,false,chronological,262,false,,,,,
"熱情，就是我探險世界的超強力燃料！
因為有『莎莎玉米片鷄腿堡』挺我！爽口莎莎醬配上玉米脆片，還有各式香草醃漬入味的嫩煎鷄腿排，給我比太陽還火的能量！加購義式鷄塊，再升級熱情2.0！

給你更多熱情美味 >>http://mcdtw.com/toa/003
來吧！歡樂送 >> http://mcdtw.com/toa/004",http://o.arcww.com.tw/www.mcdonalds.com.tw/gif/TOA.gif,https://www.facebook.com/mcdonalds.tw/posts/1217311768311505,2016-06-29T02:00:00+0000,link,o.arcww.com.tw,101615286547831_1217311768311505,52,6589,NONE,6481,false,false,chronological,30,false,,,,,
"暑假熱門電影明星犬，開放認養！？
6/29起買快樂兒童餐就免費送『寵物當家』玩具，還會後空翻好有才華！

快把愛犬帶回家>> http://mcdtw.com/toy/018/",http://o.arcww.com.tw/www.mcdonalds.com.tw/gif/FB_week1_0623.gif,https://www.facebook.com/mcdonalds.tw/posts/1219563131419702,2016-06-28T12:00:00+0000,link,o.arcww.com.tw,101615286547831_1219563131419702,120,2288,NONE,2225,false,false,chronological,217,false,,,,,
"『班尼迪克雙蛋大早餐』有法式料理五大醬汁之一的『香檸荷蘭醬』，清新檸檬撞擊濃郁奶香，你愛怎麼巧搭？

○ 灑在滑嫩香煎蛋
○ 淋在香Q滿福麵包
○ 沾一口櫸木煙燻火腿
○ 淋在小百香四季沙拉
○ 沾一口金黃薯餅

買任一盤餐套餐組，還送早安文件夾喔

更多盤餐組、更多搭配選擇 >>http://mcdtw.com/bp/003/",http://o.arcww.com.tw/www.mcdonalds.com.tw/gif/Benedict.gif,https://www.facebook.com/mcdonalds.tw/posts/1210836102292405,2016-06-23T23:00:00+0000,link,o.arcww.com.tw,101615286547831_1210836102292405,55,4765,NONE,4702,false,false,chronological,78,false,,,,,
"夏天到了，你的購物袋也該換季囉！
歡樂送網路/APP訂餐滿$398，就送限量可口可樂®繽紛袋，超有夏天的fu！

夏天派對必備，看更多美味分享餐 >>http://mcdtw.com/mcd/001/",http://o.arcww.com.tw/www.mcdonalds.com.tw/gif/MDSCokeBag_FB1.gif,https://www.facebook.com/mcdonalds.tw/posts/1214271875282161,2016-06-23T02:00:00+0000,link,o.arcww.com.tw,101615286547831_1214271875282161,256,21688,NONE,21487,false,false,chronological,124,false,,,,,
"全新『焦糖布朗尼』花聖代，綿密布朗尼X香滑焦糖，入口瞬間心就像花一般綻放了！

6/22-6/28期間限定第二杯半價，快Tag好友一起心花綻放吧！

找到離你最近的麥當勞>>>>http://mcdtw.com/br/001/",https://www.facebook.com/mcdonalds.tw/videos/1212454192130596/,https://www.facebook.com/mcdonalds.tw/videos/1212454192130596/,2016-06-22T06:00:00+0000,video,,101615286547831_1212454192130596,11668,27482,NONE,26320,false,false,chronological,4671,false,,,,,
"跟著味蕾一起去探索吧！
有玉米脆片的驚喜，還有莎莎醬的酸甜爽口
再配上鷄腿排的鮮嫩多汁～
夏天滋味，就是這麼美味！

連至官網看更多選擇>>http://mcdtw.com/toa/001
連至歡樂送頁面>>http://mcdtw.com/toa/002",https://www.facebook.com/mcdonalds.tw/videos/1212478382128177/,https://www.facebook.com/mcdonalds.tw/videos/1212478382128177/,2016-06-22T02:00:00+0000,video,,101615286547831_1212478382128177,181,2983,NONE,2878,false,false,chronological,165,false,,,,,
"必下載全新「麥當勞報報APP」，
知天氣、享優惠，7/31前完成註冊，
免費送4塊麥克鷄塊！
雙系統免費下載 >>http://mcdtw.com/pa/006/　　
此篇貼文不適用至麥當勞櫃檯直接兌換優惠",http://play.google.com/store/apps/details?id=tw.com.mcddaily,https://www.facebook.com/mcdonalds.tw/posts/1202027849839897,2016-06-15T02:00:00+0000,link,麥當勞報報APP 送4鷄,101615286547831_1202027849839897,47,390,NONE,378,false,false,chronological,62,false,,,,,
