message,link,permalink_url,created_time,type,id,shares/count,reactions/summary/total_count,reactions/summary/viewer_reaction,likes/summary/total_count,likes/summary/can_like,likes/summary/has_liked,comments/summary/order,comments/summary/total_count,comments/summary/can_comment,name,message_tags/0/id,message_tags/0/name,message_tags/0/type,message_tags/0/offset,message_tags/0/length,message_tags/1/id,message_tags/1/name,message_tags/1/type,message_tags/1/offset,message_tags/1/length
"超級比一比，麥當勞可不是青青菜菜！

當可愛的天菜151，遇見了麥當勞的新鮮生菜，雙方展開一場頂尖大PK。",https://www.facebook.com/mcdonalds.tw/videos/1007803999262284/,https://www.facebook.com/mcdonalds.tw/videos/1007803999262284/,2015-08-04T02:00:01+0000,video,101615286547831_1007803999262284,1157,31555,NONE,30037,false,false,chronological,665,false,,,,,,,,,,,
"必蒐藏！皮夾裡最可愛的一張卡
Hello Kitty限定版甜心卡來囉！有『陽光鳳梨』、『淘氣瓢蟲』雙卡設計，天啊！兩款都超Q好難選！

真的超難選der >> http://bitly.com/mcdhkt30",https://www.facebook.com/mcdonalds.tw/photos/a.114078088634884.6076.101615286547831/1002393546469996/?type=3,https://www.facebook.com/mcdonalds.tw/posts/1002393546469996:0,2015-08-01T02:00:01+0000,photo,101615286547831_1002393546469996,200,3382,NONE,3382,false,false,chronological,100,false,Timeline Photos,,,,,,,,,,
"夏天就是要穿得可愛一「點」阿，不然要幹嘛！！！？
看可愛教主化身「淘氣瓢蟲」，掀起夏日圓點潮～
【台灣限定】麥麥幫仲夏農場抱枕7/31起，週週限量上市

>>Hello Kitty女王表示：再靠近一「點點」，我就跟你走！http://bitly.com/mcdhkt2",https://www.facebook.com/mcdonalds.tw/photos/a.114078088634884.6076.101615286547831/1006154166093934/?type=3,https://www.facebook.com/mcdonalds.tw/posts/1006154166093934:0,2015-07-31T02:17:43+0000,photo,101615286547831_1006154166093934,255,5126,NONE,5126,false,false,chronological,329,false,Timeline Photos,,,,,,,,,,
"『Hello Kitty 麥麥幫仲夏農場』，口愛收成囉！
全套四款抱枕，週週限量推出，首日上午7點準時開賣！
快來搶本周限量『淘氣瓢蟲』>> http://bitly.com/mcdhkt1",https://www.facebook.com/mcdonalds.tw/photos/a.114078088634884.6076.101615286547831/1005703576138993/?type=3,https://www.facebook.com/mcdonalds.tw/posts/1005703576138993:0,2015-07-30T09:00:01+0000,photo,101615286547831_1005703576138993,11045,34017,NONE,34017,false,false,chronological,2671,false,Timeline Photos,,,,,,,,,,
"超人氣避暑勝地，氣候涼爽、裝潢舒適，而且就在你附近，那就是…麥當勞！

現在到2015/9/30，最熱的下午1點到6點，大杯冷飲第2杯只要$10，讓你從裡到外都清涼！
http://bit.ly/hphour06",https://www.facebook.com/mcdonalds.tw/photos/a.114078088634884.6076.101615286547831/1004425462933471/?type=3,https://www.facebook.com/mcdonalds.tw/posts/1028301247212559:1,2015-07-27T04:00:00+0000,photo,101615286547831_1004425462933471,168,24128,NONE,24128,false,false,chronological,89,false,Timeline Photos,,,,,,,,,,
"不誇沾！只用$ 10就追到她！
無論夜衝夜唱夜騎…每晚9點~12點，約她就對了，大薯第2包只要$10，只到2015/9/30喔！
http://bit.ly/hphour08",https://www.facebook.com/mcdonalds.tw/photos/a.114078088634884.6076.101615286547831/1004425882933429/?type=3,https://www.facebook.com/mcdonalds.tw/posts/1004425882933429:0,2015-07-27T04:00:00+0000,photo,101615286547831_1004425882933429,558,28235,NONE,28235,false,false,chronological,323,false,Timeline Photos,,,,,,,,,,
"沒Fu上班！沒Fu上班！超沒Fu上班的啦！
『好精彩大早餐』就像週日的Brunch
十足豐盛、極致寵愛
默默的…就把今天當週日早晨來享受吧

用美味一秒轉換週末心情 >>http://bitly.com/ltoplatter6",https://www.facebook.com/mcdonalds.tw/photos/a.114078088634884.6076.101615286547831/1002542886455062/?type=3,https://www.facebook.com/mcdonalds.tw/posts/1002542886455062:0,2015-07-26T23:00:00+0000,photo,101615286547831_1002542886455062,118,17430,NONE,17430,false,false,chronological,76,false,Timeline Photos,,,,,,,,,,
"啊！舊情綿綿花生了
<新上市>花生聖代/冰炫風，這款滋味呷到心綿綿，作夢攏ㄟ笑

還有冰炫風口味隨挑，2015/7/22-7/28第二杯攏半價
快揪思慕的人，重溫心綿綿的滋味

立即找最近麥當勞>http://bitly.com/mcdmf0702",https://www.facebook.com/mcdonalds.tw/photos/a.114078088634884.6076.101615286547831/1000041600038524/?type=3,https://www.facebook.com/mcdonalds.tw/posts/1000041600038524:0,2015-07-24T06:00:01+0000,photo,101615286547831_1000041600038524,511,22472,NONE,22472,false,false,chronological,547,false,Timeline Photos,,,,,,,,,,
"今天是一年最熱的大暑！
何不帶寶貝玩玩水、消消暑？
泡在浴缸裡…
泡在游泳池裡…
泡在海水裡…
泡在麥當勞也超消暑的喔(笑)",https://www.facebook.com/mcdonalds.tw/photos/a.114078088634884.6076.101615286547831/1001190589923625/?type=3,https://www.facebook.com/mcdonalds.tw/posts/1001190589923625:0,2015-07-23T02:05:17+0000,photo,101615286547831_1001190589923625,25,2427,NONE,2427,false,false,chronological,20,false,Timeline Photos,,,,,,,,,,
"【洋洋的暑假和你想的不一樣！ (劇情超展開，感動淚推~)】

放暑假了，你想去哪裡玩？住在麥當勞叔叔之家的洋洋，也有一個好想去的地方...令人揪心的紀錄影片，真實上映！

現在就捐出愛心，立刻擁有麥麥熊 >>http://goo.gl/5LznR4",https://www.facebook.com/mcdonalds.tw/videos/997413660301318/,https://www.facebook.com/mcdonalds.tw/videos/997413660301318/,2015-07-22T10:00:01+0000,video,101615286547831_997413660301318,131,1049,NONE,1047,false,false,chronological,25,false,洋洋的暑假和你想的不一樣！ (劇情超展開，感動淚推~),,,,,,,,,,
