message,link,permalink_url,created_time,type,name,id,shares/count,reactions/summary/total_count,reactions/summary/viewer_reaction,likes/summary/total_count,likes/summary/can_like,likes/summary/has_liked,comments/summary/order,comments/summary/total_count,comments/summary/can_comment,message_tags/0/id,message_tags/0/name,message_tags/0/type,message_tags/0/offset,message_tags/0/length,message_tags/1/id,message_tags/1/name,message_tags/1/type,message_tags/1/offset,message_tags/1/length
"一起黑白變身吧！
黑芝麻的濃香X白色冰淇淋的濃郁，麥當勞冰炫風變身黑白，成為你最時尚的美味！
http://bit.ly/news_Sesame

快上歡樂送網路訂餐 http://bitly.com/MCDelivery",https://www.facebook.com/mcdonalds.tw/photos/a.114078088634884.6076.101615286547831/735974466445240/?type=3,https://www.facebook.com/mcdonalds.tw/posts/736004486442238:0,2014-04-02T06:00:00+0000,photo,Timeline Photos,101615286547831_735974466445240,153,1837,NONE,1837,false,false,chronological,45,false,,,,,,,,,,
"Happy來了！他充滿驚喜，把每件事都變得好玩，快來看他搞笑的Happy show吧！ 
http://bit.ly/happyIndex",https://www.facebook.com/mcdonalds.tw/photos/a.359393464103344.76426.101615286547831/735941193115234/?type=3,https://www.facebook.com/mcdonalds.tw/posts/735941219781898,2014-04-02T03:01:15+0000,photo,麥當勞's cover photo,101615286547831_735941193115234,28,608,NONE,608,false,false,chronological,13,false,,,,,,,,,,
"超Q超無厘頭
來自快樂星球的他
明天登陸台灣！",https://www.facebook.com/mcdonalds.tw/photos/a.359393464103344.76426.101615286547831/735360466506640/?type=3,https://www.facebook.com/mcdonalds.tw/posts/735360499839970,2014-04-01T03:01:57+0000,photo,麥當勞's cover photo,101615286547831_735360466506640,26,616,NONE,616,false,false,chronological,8,false,,,,,,,,,,
"你猜到是什麼了嗎？
黑白雙勢力即將從麥當勞崛起，黑有獨特香氣、白的濃郁綿密！",https://www.facebook.com/mcdonalds.tw/photos/a.114078088634884.6076.101615286547831/734935673215786/?type=3,https://www.facebook.com/mcdonalds.tw/posts/734946329881387:0,2014-03-31T08:00:00+0000,photo,Timeline Photos,101615286547831_734935673215786,30,974,NONE,974,false,false,chronological,34,false,,,,,,,,,,
"月底荷包快見底，快給我超省的好早餐吧！
濃郁吉事與滑嫩鮮蛋交疊出簡單美味，吉事蛋堡+現煮咖啡，不敢相信竟只要39元！
http://bitly.com/bfast39",https://www.facebook.com/mcdonalds.tw/photos/a.114078088634884.6076.101615286547831/733573576685329/?type=3,https://www.facebook.com/mcdonalds.tw/posts/734527753256578:0,2014-03-30T13:00:00+0000,photo,Timeline Photos,101615286547831_733573576685329,51,810,NONE,810,false,false,chronological,17,false,,,,,,,,,,
"最後倒數10天，你吃了沒？
網友好評激推『胡麻豬排堡』，就像點了一整份日式豬排，再灑上切絲生菜和胡麻醬，絕對大確幸，快來品嚐！
http://bitly.com/TasteofJapan

歡樂送網路訂餐http://bitly.com/MCDelivery",https://www.facebook.com/mcdonalds.tw/photos/a.114078088634884.6076.101615286547831/732917746750912/?type=3,https://www.facebook.com/mcdonalds.tw/posts/733271350048885:0,2014-03-28T02:00:01+0000,photo,Timeline Photos,101615286547831_732917746750912,19,855,NONE,855,false,false,chronological,19,false,,,,,,,,,,
"一日之計在於晨，一周的活力，就從有A級蛋的早餐開始吧！~ 明早一起去麥當勞報到，花39元就能吃到吉事蛋堡及現煮咖啡，超值早餐果然超值！
http://bitly.com/bfast39",https://www.facebook.com/mcdonalds.tw/photos/a.114078088634884.6076.101615286547831/729444447098242/?type=3,https://www.facebook.com/mcdonalds.tw/posts/730487853660568:0,2014-03-23T13:00:00+0000,photo,Timeline Photos,101615286547831_729444447098242,28,703,NONE,703,false,false,chronological,26,false,,,,,,,,,,
"今天帶你去日本築地吧！？
全新的海味小丸子，吃一口就像到了日本港町餐廳，任一套餐只要加30元就能享受這日式道地鮮味囉！
http://bitly.com/TasteofJapan

快上歡樂送網路訂餐http://bitly.com/MCDelivery",https://www.facebook.com/mcdonalds.tw/photos/a.114078088634884.6076.101615286547831/727150127327674/?type=3,https://www.facebook.com/mcdonalds.tw/posts/728206677222019:0,2014-03-19T02:30:01+0000,photo,Timeline Photos,101615286547831_727150127327674,30,670,NONE,670,false,false,chronological,25,false,,,,,,,,,,
"$39能吃到什麼早餐呢？別再讓冷冰冰的食物折騰你的胃！
麥當勞準備好熱騰騰現做餐點加上現煮咖啡，美味又划算只要$39，這麼超值，簡直佛心來著啊！
http://bitly.com/bfast39",https://www.facebook.com/mcdonalds.tw/photos/a.114078088634884.6076.101615286547831/727249597317727/?type=3,https://www.facebook.com/mcdonalds.tw/posts/727583690617651:0,2014-03-17T23:46:07+0000,photo,Timeline Photos,101615286547831_727249597317727,94,917,NONE,917,false,false,chronological,17,false,,,,,,,,,,
"感謝大家，我們一起做到了！
「3/17 國際早餐日」順利完成！",https://www.facebook.com/mcdonalds.tw/photos/a.114078088634884.6076.101615286547831/727096317333055/?type=3,https://www.facebook.com/mcdonalds.tw/posts/727096617333025:0,2014-03-17T10:20:11+0000,photo,Timeline Photos,101615286547831_727096317333055,22,1887,NONE,1887,false,false,chronological,25,false,,,,,,,,,,
"天剛亮，麥當勞準備好了，等你免費享受滿福堡。
大家一起用早餐的活力轉動城市吧，早安加油！
http://bitly.com/mcmbd",https://www.facebook.com/mcdonalds.tw/photos/a.114078088634884.6076.101615286547831/726663467376340/?type=3,https://www.facebook.com/mcdonalds.tw/posts/726864157356271:0,2014-03-16T23:00:00+0000,photo,Timeline Photos,101615286547831_726663467376340,135,1694,NONE,1694,false,false,chronological,57,false,,,,,,,,,,
,https://www.facebook.com/mcdonalds.tw/photos/a.359393464103344.76426.101615286547831/725955987447088/?type=3,https://www.facebook.com/mcdonalds.tw/posts/725956014113752,2014-03-15T05:14:57+0000,photo,麥當勞's cover photo,101615286547831_725955987447088,144,1469,NONE,1469,false,false,chronological,25,false,,,,,,,,,,
"為什麼藍色和白色~千萬不能在一起? 
在一起揪竟會發生什麼嚴重的後果?
這到底是宿命的安排，還是性命的糾葛，
讓我們繼續看下去...http://bitly.com/bwfbpost",https://www.facebook.com/mcdonalds.tw/photos/a.114078088634884.6076.101615286547831/725605420815478/?type=3,https://www.facebook.com/mcdonalds.tw/posts/725610520814968:0,2014-03-14T14:19:13+0000,photo,Timeline Photos,101615286547831_725605420815478,33,2694,NONE,2694,false,false,chronological,28,false,,,,,,,,,,
大家所不知道的麥當勞，被彎彎畫出來啦！藍、白手套，絕對不能在一起，想知道為什麼？讓我們繼續看下去，因為看得見，最安心嘛！ http://bitly.com/mcdfd1,https://www.facebook.com/mcdonalds.tw/photos/a.725602840815736.1073741828.101615286547831/725602854149068/?type=3,https://www.facebook.com/mcdonalds.tw/posts/725645277478159:0,2014-03-14T13:50:00+0000,photo,看得見 最安心！食畫實說,101615286547831_725602854149068,46,959,NONE,959,false,false,chronological,8,false,,,,,,,,,,
"倒數2天，最後機會！還沒體驗麥當勞優惠券給你的超值享受嗎？
只到 3/16，超多美味全天優惠，趕快下載！
http://bit.ly/FebCoupon",https://www.facebook.com/mcdonalds.tw/photos/a.114078088634884.6076.101615286547831/725507284158625/?type=3,https://www.facebook.com/mcdonalds.tw/posts/725507490825271:0,2014-03-14T08:53:39+0000,photo,Timeline Photos,101615286547831_725507284158625,37,611,NONE,611,false,false,chronological,6,false,,,,,,,,,,
就是下周一！3/17國際早餐日，免費請吃滿福堡(灑花轉圈圈)，快一起大聲說：早安加油！http://bitly.com/mcmbd,https://www.facebook.com/mcdonalds.tw/photos/a.114078088634884.6076.101615286547831/725368847505802/?type=3,https://www.facebook.com/mcdonalds.tw/posts/725368964172457:0,2014-03-14T04:25:38+0000,photo,Timeline Photos,101615286547831_725368847505802,277,1385,NONE,1385,false,false,chronological,25,false,,,,,,,,,,
"只會念書不稀奇，志氣世界第一才給力！
麥當勞『早安加油團』繼續出任務，直擊『景美女中拔河隊』，想看世界冠軍的氣勢和堅持嗎？
http://bitly.com/mcmbd",http://www.youtube.com/watch?v=bIIdWQgtVuU&list=PLdFl_zkI9E8q1ipK5Cszidh63lzhpXGQO&feature=share&index=1,https://www.facebook.com/mcdonalds.tw/posts/679378645438380,2014-03-13T07:37:40+0000,video,早安加油轉播站 世界最強力高中生,101615286547831_679378645438380,6,396,NONE,396,false,false,chronological,0,false,,,,,,,,,,
"「早安加油團」要出任務囉！明天早上0830會到內湖科學園區麥當勞幫每個早起的你早安加油，不見不散！

不能親臨現場的人也別擔心，早安加油團持續24hrs在FB待命幫你和朋友們舉牌加油！
http://bitly.com/mcmbd",https://www.facebook.com/mcdonalds.tw/photos/a.114078088634884.6076.101615286547831/724514070924613/?type=3,https://www.facebook.com/mcdonalds.tw/posts/724514537591233:0,2014-03-12T13:08:37+0000,photo,Timeline Photos,101615286547831_724514070924613,9,462,NONE,462,false,false,chronological,3,false,,,,,,,,,,
"今天帶你去日本吧！？
全新的月見牛肉堡和胡麻豬排堡，
吃一口就像墜入日本料理職人的私廚..
啊！這是感動的眼淚嗎？
http://bitly.com/TasteofJapan

快上歡樂送網路訂餐http://bitly.com/MCDelivery",https://www.facebook.com/mcdonalds.tw/photos/a.114078088634884.6076.101615286547831/723989817643705/?type=3,https://www.facebook.com/mcdonalds.tw/posts/724340924275261:0,2014-03-12T02:30:01+0000,photo,Timeline Photos,101615286547831_723989817643705,167,1546,NONE,1546,false,false,chronological,30,false,,,,,,,,,,
"麥當勞『早安加油團』出任務首站，直擊早安加油現場！
想看看透早上工的公車司機，如何展現熱忱，以八國語言報站嗎？http://bitly.com/mcmbd",http://www.youtube.com/watch?v=GKjVeUBgQrw,https://www.facebook.com/mcdonalds.tw/posts/678360688873509,2014-03-11T02:51:19+0000,link,早安加油轉播站 DJ公車司機,101615286547831_678360688873509,18,514,NONE,514,false,false,chronological,2,false,,,,,,,,,,
"「早安加油團」報到！
由麥當勞熱情工作夥伴組團，24hrs在FB待命(舉牌加油)，為你和朋友們鼓舞打氣！快點我~~http://bitly.com/mcmbd",https://www.facebook.com/mcdonalds.tw/photos/a.114078088634884.6076.101615286547831/723366684372685/?type=3,https://www.facebook.com/mcdonalds.tw/posts/723366924372661:0,2014-03-10T13:04:36+0000,photo,Timeline Photos,101615286547831_723366684372685,22,590,NONE,590,false,false,chronological,5,false,,,,,,,,,,
"3/17國際早餐日，滿福堡免費送，幫全台灣早安加油！
http://bitly.com/mcmbd",https://www.facebook.com/mcdonalds.tw/photos/a.114078088634884.6076.101615286547831/723172854392068/?type=3,https://www.facebook.com/mcdonalds.tw/posts/723173444392009:0,2014-03-10T02:09:29+0000,photo,Timeline Photos,101615286547831_723172854392068,1232,3901,NONE,3901,false,false,chronological,96,false,,,,,,,,,,
"眾所期待，2014全新甜心卡終於開賣囉！
買A送B優惠組合，讓你分享美味不多花1塊錢，限時供應，想聰明省的你千萬絕對不能錯過啊！
http://bit.ly/dessertCard",https://www.facebook.com/mcdonalds.tw/photos/a.114078088634884.6076.101615286547831/721104317932255/?type=3,https://www.facebook.com/mcdonalds.tw/posts/721104367932250:0,2014-03-06T03:03:51+0000,photo,Timeline Photos,101615286547831_721104317932255,382,2770,NONE,2770,false,false,chronological,109,false,,,,,,,,,,
喔！就像是來自星星的美味，一吃就感動，期間限定的『韓式醬烤珍牛堡』，即將風光下檔，快嚐嚐舌尖上的韓流吧！搭配小可1+1只要50元喔! http://bit.ly/karubi,https://www.facebook.com/mcdonalds.tw/photos/a.114078088634884.6076.101615286547831/719689874740366/?type=3,https://www.facebook.com/mcdonalds.tw/posts/720048811371139:0,2014-03-04T02:00:01+0000,photo,Timeline Photos,101615286547831_719689874740366,20,633,NONE,633,false,false,chronological,6,false,,,,,,,,,,
