message,permalink_url,created_time,type,id,shares/count,reactions/summary/total_count,reactions/summary/viewer_reaction,likes/summary/total_count,likes/summary/can_like,likes/summary/has_liked,comments/summary/order,comments/summary/total_count,comments/summary/can_comment,link,name
在萬聖節夜晚，遇到6.3地震，大家都還好嗎?希望只是虛驚一場！,https://www.facebook.com/mcdonalds.tw/posts/652129048163116,2013-10-31T12:53:34+0000,status,101615286547831_652129048163116,8,3791,NONE,3791,false,false,chronological,38,false,,
"想回味1955的美式復古經典？
嚐一口『美式培根牛肉堡』，瞬間進入1955第一家麥當勞誕生的風華絕代，四盎司純牛肉、香煎培根、炭烤BBQ醬…每一口都是滿滿的美式經典滋味，現在買還送第二套半價優惠券喔！(詳情請見官網) http://bit.ly/19551984",https://www.facebook.com/mcdonalds.tw/posts/651428178233203:0,2013-10-30T03:58:08+0000,photo,101615286547831_651428164899871,678,11940,NONE,11940,false,false,chronological,289,false,https://www.facebook.com/mcdonalds.tw/photos/a.114078088634884.6076.101615286547831/651428164899871/?type=3,Timeline Photos
30週年「麥麥經典磁鐵」持續發燒中，紅通通的薯條磁鐵不管吸在哪都超吸睛！還可當作名片夾，快把握機會整套蒐集喔！http://bit.ly/30th_slp,https://www.facebook.com/mcdonalds.tw/posts/648737321835622:0,2013-10-25T08:00:00+0000,photo,101615286547831_648736991835655,77,3977,NONE,3977,false,false,chronological,43,false,https://www.facebook.com/mcdonalds.tw/photos/a.114078088634884.6076.101615286547831/648736991835655/?type=3,Timeline Photos
"涼涼的下午，來點香辣夠味的最過癮了！
勁辣香鷄翅，一份兩塊「勁」情享用，歡慶30週年限時降價只要＄30，讓你全身火辣帶勁！http://bit.ly/30th_sp",https://www.facebook.com/mcdonalds.tw/posts/647703771938977:0,2013-10-23T08:09:29+0000,photo,101615286547831_647703761938978,101,1470,NONE,1470,false,false,chronological,25,false,https://www.facebook.com/mcdonalds.tw/photos/a.114078088634884.6076.101615286547831/647703761938978/?type=3,Timeline Photos
倒數48小時，麥香鷄...只要$30  http://bit.ly/30th_sp,https://www.facebook.com/mcdonalds.tw/posts/646506558725365:0,2013-10-21T02:00:01+0000,photo,101615286547831_644905152218839,59,867,NONE,867,false,false,chronological,16,false,https://www.facebook.com/mcdonalds.tw/photos/a.114078088634884.6076.101615286547831/644905152218839/?type=3,Timeline Photos
WOW~超迷你大麥克，可以一口咬下嗎？這其實是30週年「麥麥經典磁鐵」，超逼真外型還可當作名片架，限量推出只要點套餐+39$，快來全套蒐集吧！ http://bit.ly/30th_slp,https://www.facebook.com/mcdonalds.tw/posts/644764828899538:0,2013-10-18T04:21:33+0000,photo,101615286547831_644764812232873,114,5987,NONE,5987,false,false,chronological,57,false,https://www.facebook.com/mcdonalds.tw/photos/a.114078088634884.6076.101615286547831/644764812232873/?type=3,Timeline Photos
"呼~忙了半天，大家辛苦了！該休息一下，吃個甜點囉！
熱騰騰的香芋派，咬開酥脆外皮，芋頭綿密滑順，心情暖呼呼，幸福感也滿出來！  http://bit.ly/taropie",https://www.facebook.com/mcdonalds.tw/posts/633371313372223:0,2013-10-04T07:00:01+0000,photo,101615286547831_633369126705775,418,15832,NONE,15832,false,false,chronological,368,false,https://www.facebook.com/mcdonalds.tw/photos/a.114078088634884.6076.101615286547831/633369126705775/?type=3,Timeline Photos
"最後1天！！！
你還沒享受過麥當勞超值優惠券帶來的多一些美味嗎？
只到 10/8，機會不再，趕快把握吧！ http://bit.ly/1cFn2S0",https://www.facebook.com/mcdonalds.tw/posts/632573160118705:0,2013-10-03T02:00:00+0000,photo,101615286547831_632219040154117,300,7971,NONE,7971,false,false,chronological,70,false,https://www.facebook.com/mcdonalds.tw/photos/a.114078088634884.6076.101615286547831/632219040154117/?type=3,Timeline Photos
今天你想吃台灣料理還是美式餐點?  何必選！麥當勞30週年限時供應『九塊麥克鷄塊餐』，隨餐附2種驚喜沾醬『台式三杯醬』、美式『經典BBQ燒烤醬』，怎麼吃也不厭倦，就是愛麥克鷄塊！ http://bit.ly/McNugget,https://www.facebook.com/mcdonalds.tw/posts/632093256833362:0,2013-10-02T02:13:44+0000,photo,101615286547831_632093240166697,226,2981,NONE,2981,false,false,chronological,55,false,https://www.facebook.com/mcdonalds.tw/photos/a.114078088634884.6076.101615286547831/632093240166697/?type=3,Timeline Photos
"「麥麥經典磁鐵」全套四款你蒐集到第幾款了呢？別忘了還有麥克鷄塊，收藏一整套才是經典!  用鷄塊盒磁鐵掛鑰匙圈夠醒目吧!買套餐只要加39元, 輕鬆珍藏!   http://bit.ly/30th_slp",https://www.facebook.com/mcdonalds.tw/posts/631781846864503:0,2013-10-01T13:39:45+0000,photo,101615286547831_631781826864505,126,5480,NONE,5480,false,false,chronological,53,false,https://www.facebook.com/mcdonalds.tw/photos/a.114078088634884.6076.101615286547831/631781826864505/?type=3,Timeline Photos
"什麼週年慶，讓你賺飽飽？30元就大滿足！
麥當勞30週年，麥香鷄，滿福堡…通通只要加30元就有，滿足美食慾，荷包不失血！ http://bit.ly/30th_sp",https://www.facebook.com/mcdonalds.tw/posts/628026233906731:0,2013-09-25T02:00:01+0000,photo,101615286547831_628012600574761,426,3009,NONE,3009,false,false,chronological,66,false,https://www.facebook.com/mcdonalds.tw/photos/a.114078088634884.6076.101615286547831/628012600574761/?type=3,Timeline Photos
麥當勞薯條變身磁鐵便條夾!? 不論吸在哪兒都超吸睛！薯條造型「麥麥經典磁鐵」，任何套餐只要加$39就能輕鬆入手，不小心就手滑了呀! http://bit.ly/30th_slp,https://www.facebook.com/mcdonalds.tw/posts/627712850604736:0,2013-09-24T13:00:01+0000,photo,101615286547831_627693513940003,49,1275,NONE,1275,false,false,chronological,20,false,https://www.facebook.com/mcdonalds.tw/photos/a.114078088634884.6076.101615286547831/627693513940003/?type=3,Timeline Photos
賞月想換換口味？ 一定要嚐嚐期間限定的香芋派，粒粒紮實的芋頭塊，濃郁口感搭配酥脆派皮，每一口都香氣四溢～單點只要$28，今天馬上先來一個吧！ http://bit.ly/taropie,https://www.facebook.com/mcdonalds.tw/posts/623102187732469:0,2013-09-18T07:02:51+0000,photo,101615286547831_623102177732470,241,2468,NONE,2468,false,false,chronological,74,false,https://www.facebook.com/mcdonalds.tw/photos/a.114078088634884.6076.101615286547831/623102177732470/?type=3,Timeline Photos
"學生們群起瘋唱超熱血，這樣的青春才夠嗆! 
每個人都超強，誰會奪下麥克瘋之王？限時倒數３天，快去幫他們按讚投票，決定誰能稱王?!  http://bit.ly/bigmac_vote",https://www.facebook.com/mcdonalds.tw/posts/621189354590419:0,2013-09-15T14:00:01+0000,photo,101615286547831_621181897924498,23,1048,NONE,1048,false,false,chronological,29,false,https://www.facebook.com/mcdonalds.tw/photos/a.114078088634884.6076.101615286547831/621181897924498/?type=3,Timeline Photos
"咚滋咚滋噗噗滋～麥克瘋全台瘋唱！繼ECHO之後，許多B-Box高手也加入挑戰了，其中一組還秀出「倒唸如流」大絕技！現在就進來投票，給他們一個讚！
http://bit.ly/bigmac_bbox1
http://bit.ly/bigmac_bbox2
http://bit.ly/bigmac_bbox3",https://www.facebook.com/mcdonalds.tw/posts/620609787981709:0,2013-09-14T12:28:42+0000,photo,101615286547831_620609771315044,8,672,NONE,672,false,false,chronological,15,false,https://www.facebook.com/mcdonalds.tw/photos/a.114078088634884.6076.101615286547831/620609771315044/?type=3,Timeline Photos
星期六補班覺得懶洋洋嗎？不如填飽肚子，讓麥當勞美味來幫你補充整天元氣！現在買早餐主餐搭配優惠券，+$1元就送小杯熱飲或中杯冷飲！多一些的超值享受，給你多一些的滿滿活力！ http://bit.ly/1cFn2S0,https://www.facebook.com/mcdonalds.tw/posts/620185374690817:0,2013-09-13T13:00:01+0000,photo,101615286547831_620168191359202,48,817,NONE,817,false,false,chronological,13,false,https://www.facebook.com/mcdonalds.tw/photos/a.114078088634884.6076.101615286547831/620168191359202/?type=3,Timeline Photos
"難道是全世界最小的大麥克嗎？其實這是慶祝麥當勞在台灣30週年推出的「麥麥經典磁鐵」喔！超逼真可愛的外型還可以當名片座，一套四款,限量發行, 快來珍藏！ http://bit.ly/30th_slp",https://www.facebook.com/mcdonalds.tw/posts/619253791450642:0,2013-09-11T14:00:01+0000,photo,101615286547831_619222218120466,296,12653,NONE,12653,false,false,chronological,113,false,https://www.facebook.com/mcdonalds.tw/photos/a.114078088634884.6076.101615286547831/619222218120466/?type=3,Timeline Photos
"大麥克粉絲臥虎藏龍，連模王『小蝦』也瘋迷！熬夜改編『麥克瘋』，一分鐘內讓費遇清、盧廣種…瘋上身，非看不可！
唱出你的麥克瘋 http://campaign.mcdonalds.com.tw/BIGMAC/",https://www.facebook.com/mcdonalds.tw/videos/588175911225321/,2013-09-07T09:13:06+0000,video,101615286547831_588175911225321,230,1560,NONE,1560,false,false,chronological,43,false,https://www.facebook.com/mcdonalds.tw/videos/588175911225321/,小蝦 ×麥克瘋，四位天王首次合唱
"素人阿公阿嬤太古錐啦！結婚快一甲子，阿公阿嬤深情合唱『麥克瘋』，揪促味ㄟ！
別輸阿公阿嬤，你也來唱 http://campaign.mcdonalds.com.tw/BIGMAC/",https://www.facebook.com/mcdonalds.tw/videos/588187731224139/,2013-09-06T19:10:00+0000,video,101615286547831_588187731224139,174,1033,NONE,1033,false,false,chronological,36,false,https://www.facebook.com/mcdonalds.tw/videos/588187731224139/,阿公阿嬤×麥克瘋，國語台語台灣國語remix版
"快看『麥克瘋』史上最強矛盾之戰！到底是BBOX大神『ECHO』舌頭唱功多層、還是大麥克食材多層？
屬於你自己風格的麥克瘋，等你挑戰http://campaign.mcdonalds.com.tw/BIGMAC/",https://www.facebook.com/mcdonalds.tw/videos/587847167924862/,2013-09-06T15:00:00+0000,video,101615286547831_587847167924862,138,1493,NONE,1493,false,false,chronological,25,false,https://www.facebook.com/mcdonalds.tw/videos/587847167924862/,ECHO ×麥克瘋，史上最瘋的矛盾之戰！
"有點餓、又不會太餓，吃什麼最好？
限時經典『小麥克』，香濃吉事在澳洲純牛肉上融化，獨特醬料一口咬下絕美融合，還有洋蔥、酸黃瓜提味，這樣的美味竟然只要…超值＄30！ http://bit.ly/minimac_30",https://www.facebook.com/mcdonalds.tw/posts/616769101699111:0,2013-09-06T11:49:21+0000,photo,101615286547831_616769068365781,89,1797,NONE,1797,false,false,chronological,27,false,https://www.facebook.com/mcdonalds.tw/photos/a.114078088634884.6076.101615286547831/616769068365781/?type=3,Timeline Photos
台灣麥當勞30歲了！在這值得慶祝的月份，特別獻給你一系列超值經典美味！買任何套餐搭配優惠券，通通只要+＄30！趕快下載，和你的好朋友一起品嚐美味，一起分享喜悅吧！ http://bit.ly/1cFn2S0,https://www.facebook.com/mcdonalds.tw/posts/616266848416003:0,2013-09-05T09:00:03+0000,photo,101615286547831_616200671755954,281,2075,NONE,2075,false,false,chronological,34,false,https://www.facebook.com/mcdonalds.tw/photos/a.114078088634884.6076.101615286547831/616200671755954/?type=3,Timeline Photos
回想你難忘的童年生日派對、初戀約會…是不是都和麥當勞在一起？這30年來，與麥當勞一路相伴的大麥克、薯條，變身超卡哇伊磁鐵限量發售，趕緊珍藏經典喔!  http://bit.ly/30th_slp,https://www.facebook.com/mcdonalds.tw/posts/616184275090927:0,2013-09-05T03:50:43+0000,photo,101615286547831_616184255090929,910,18046,NONE,18046,false,false,chronological,153,false,https://www.facebook.com/mcdonalds.tw/photos/a.114078088634884.6076.101615286547831/616184255090929/?type=3,Timeline Photos
大麥克的頭號粉絲羅志祥，獻出網路獨播即興版『麥克瘋』，給你從沒看過~超瘋的羅志祥！你也快唱出自己風格，夠讚，羅志祥將和你合拍MV，在YouTube首頁全球大首播喔！http://campaign.mcdonalds.com.tw/BIGMAC/,https://www.facebook.com/mcdonalds.tw/posts/615809898461698,2013-09-04T10:00:32+0000,video,101615286547831_615809898461698,129,1339,NONE,1339,false,false,chronological,56,false,http://www.youtube.com/watch?v=T2x9VMsi4zo,羅志祥×麥克瘋 網路獨播【即興版】
