message,link,permalink_url,created_time,type,name,id,shares/count,reactions/summary/total_count,reactions/summary/viewer_reaction,likes/summary/total_count,likes/summary/can_like,likes/summary/has_liked,comments/summary/order,comments/summary/total_count,comments/summary/can_comment
"早晨來一杯＿＿咖啡，為自己開啟活力的一天 ♥
知道答案的粉絲請．留．言",https://www.facebook.com/kfctaiwan/photos/a.329668497105719.76003.324273577645211/727100177362547/?type=3,https://www.facebook.com/kfctaiwan/posts/727100220695876:0,2014-07-14T02:06:03+0000,photo,Timeline Photos,324273577645211_727100177362547,5,257,NONE,257,false,false,ranked,24,false
"Ole．Ole．Ole！
舉起你的右手！進球進球！
舉起你的罐可！加油加油！
周一凌晨三點冠軍戰開打喔！
留言告訴團長，「我支持＿＿＿＿，加油！」",https://www.facebook.com/kfctaiwan/photos/a.329668497105719.76003.324273577645211/725615727510992/?type=3,https://www.facebook.com/kfctaiwan/posts/726596180746280:0,2014-07-13T04:00:00+0000,photo,Timeline Photos,324273577645211_725615727510992,1,307,NONE,307,false,false,ranked,14,false
"【賽事資訊】
季軍戰  ▶ 7/13(日) 04:00  巴西 VS 荷蘭
冠軍戰  ▶ 7/14(一) 03:00  德國 VS 阿根廷
讓百事球星陪你一起看球賽！Ole．Ole．Ole！",https://www.facebook.com/kfctaiwan/photos/a.329668497105719.76003.324273577645211/725621310843767/?type=3,https://www.facebook.com/kfctaiwan/posts/726056744133557:0,2014-07-12T04:00:01+0000,photo,Timeline Photos,324273577645211_725621310843767,19,552,NONE,552,false,false,ranked,8,false
"《 蜜汁烤雞翅 》採用上選三節翅，獨家特調香料醃漬，再刷上以蜂蜜及多種香料調配而成的的港式蜜汁醬， 精心燒烤而成～
鮮嫩多汁的雞翅、配上香醇蜜汁，口感層次豐富，甜而不膩，令人一支接一支，吮指回味、欲罷不能！
．加價購  $29、點單 $39",https://www.facebook.com/kfctaiwan/photos/a.329668497105719.76003.324273577645211/725473034191928/?type=3,https://www.facebook.com/kfctaiwan/posts/725473724191859:0,2014-07-11T02:13:42+0000,photo,Timeline Photos,324273577645211_725473034191928,4,282,NONE,282,false,false,ranked,3,false
"上校雞塊沾韓式沾醬好美味 ♪ 
香酥脆薯沾韓式沾醬好對味 ♫
香辣酸甜 忍不住吮指回味
單點韓式沾醬 $5，不限次數加點喔！

歡迎跟團長分享「韓式沾醬」的新吃法～",https://www.facebook.com/kfctaiwan/photos/a.329668497105719.76003.324273577645211/724965804242651/?type=3,https://www.facebook.com/kfctaiwan/posts/724965964242635:0,2014-07-10T02:07:11+0000,photo,Timeline Photos,324273577645211_724965804242651,2,363,NONE,363,false,false,ranked,6,false
"周四凌晨四點，冠軍資格賽，即將開打
快來肯德基帶限量范佩西、梅西回家！
留言告訴團長，荷蘭？阿根廷？粉絲支持哪隊？",https://www.facebook.com/kfctaiwan/photos/a.329668497105719.76003.324273577645211/724447434294488/?type=3,https://www.facebook.com/kfctaiwan/posts/724549457617619:0,2014-07-09T09:00:00+0000,photo,Timeline Photos,324273577645211_724447434294488,3,219,NONE,219,false,false,ranked,13,false
"好熱喔～炎炎夏日 推出季節限定的「仲夏芒果氣泡飲」
散發著濃郁芒果香的清涼氣泡飲，搭配受歡迎的奇亞籽或甜心蒟蒻，清涼消暑的好滋味 ♥
仲夏芒果氣泡飲 單點 $39、套餐 (限中可)升級加價 $5
留言 tag好友：「＿＿＿肯德基仲夏芒果氣泡飲，第2杯半價！」
．活動期間：2014/7/8 - 8/11
．外送不適用",https://www.facebook.com/kfctaiwan/photos/a.329668497105719.76003.324273577645211/724425597630005/?type=3,https://www.facebook.com/kfctaiwan/posts/724425864296645:0,2014-07-09T02:28:10+0000,photo,Timeline Photos,324273577645211_724425597630005,21,410,NONE,410,false,false,ranked,9,false
"放假囉 ～
留言告訴團長放假到哪度過炎炎夏日？
A. 到肯德基吃炸雞吹冷氣
B. 到海邊盡情享受夏日陽光
C. 好熱喔！待在家裡最好了
D. 到＿＿＿＿＿",https://www.facebook.com/kfctaiwan/photos/a.327640700641832.75606.324273577645211/723784404360791/?type=3,https://www.facebook.com/kfctaiwan/posts/723784531027445,2014-07-08T02:04:20+0000,photo,KFC's cover photo,324273577645211_723784404360791,2,210,NONE,210,false,false,ranked,18,false
"肯德基夏日Fun假餐，只要 $399
內含咔啦脆雞 x 5 + 金黃脆腿條 x 5 + 港式蜜汁烤雞翅 x 2 + 香酥脆薯(中) x 1 + 可樂(小) x 3 
多種美味，滿足每一張嘴～",https://www.facebook.com/kfctaiwan/photos/a.329668497105719.76003.324273577645211/723764027696162/?type=3,https://www.facebook.com/kfctaiwan/posts/723764114362820:0,2014-07-08T01:29:52+0000,photo,Timeline Photos,324273577645211_723764027696162,24,570,NONE,570,false,false,ranked,12,false
"肯德基購餐車道有了新名字啦～『肯德基 快取GO』
7月8日起至『肯德基 快取GO』
消費即可獲得VIP卡一張，憑卡買桶餐/ 套餐享優惠3選1喔！
有車的粉絲們～請喊又！",https://www.facebook.com/kfctaiwan/photos/a.329668497105719.76003.324273577645211/723358647736700/?type=3,https://www.facebook.com/kfctaiwan/posts/723358687736696:0,2014-07-07T08:00:14+0000,photo,Timeline Photos,324273577645211_723358647736700,47,658,NONE,658,false,false,ranked,39,false
"原味蛋撻＋美式咖啡的午茶時光(・。・)
遠傳4G用戶『免費獨享』肯德基午茶套餐，只在Qbon行動優惠券。
其實每天都好期待午茶時間～

免費品咖啡→
https://www.facebook.com/Qbon.inside",https://www.facebook.com/friDay.coupon/,https://www.facebook.com/kfctaiwan/posts/723247544414477,2014-07-07T07:00:00+0000,link,friDay 優惠牆,324273577645211_723247544414477,,67,NONE,67,false,false,ranked,0,false
